Submission ID	Description	Project	Lab	Assay	Data Type	Experimental Factor	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	GFF Files	GEO/SRA IDs
2721	Lai_CMEW1_Cl_8	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster	CME W1 Cl.8+				1/28/10	2/3/10	released		, GSE24307, GSM609226, GSM609227
2722	Lai_S2-DRSC-BS11	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster	S2-DRSC				1/28/10	2/3/10	released		, GSE24308, GSM609228
2725	Lai_GSM361908_s2	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster	S2-GMR				1/28/10	2/3/10	released		GSM361908
2726	Histone_H3K4me1_N2_EEMB_(AB8895_H3K4ME1733246_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification	Target=H3K4Me1;AbName=H3K4Me1;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	1/29/10	2/18/10	released		, GSE22747, GSM562777, GSM562778
2727 deprecated by 3200	Histone_H3K27ac_N2_EEMB_(WA30634849_H3K27AC_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification	Target=H3K27Ac;AbName=H3K27Ac;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	1/29/10	2/18/10	replaced		, GSE22748, GSM562779, GSM562780
2728 deprecated by 0	Histone_H3K9ac_N2_EEMB_(AB4441_H3K9AC_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification	Target=H3K9Ac;AbName=H3K9Ac;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	1/29/10	2/18/10	replaced		, GSE22749, GSM562781, GSM562782
2729	LEM-2_N2_MXEMB_(SDQ3891_LEM2_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=lem-2;AbName=SDQ3891_LEM2, SDQ4051_LEM2;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: embryo	1/29/10	2/18/10	released		, GSE22750, GSM562783, GSM562784, GSM562785, GSM562786
2730	Day0_spe-9 Solexa Raw Data SOAP-aligned	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		BA671	whole organism	larva: newly molted young adult hermaphrodite	1/29/10	2/13/10	released		GSM463029
2732	Day5_spe-9 Solexa Raw Data SOAP-aligned	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		BA671	whole organism	adult: 5-days post-L4 adult hermaphrodite	1/29/10	2/13/10	released		GSM463026
2733	Day8_spe-9 Solexa Raw Data SOAP-aligned	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		BA671	whole organism	adult: 7-10 days post-L4 adult hermaphrodite	1/29/10	2/13/10	released		GSM463030
2734	Day12_spe-9 Solexa Raw Data SOAP-aligned	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		BA671	whole organism	adult: adult hermaphrodite	1/29/10	2/13/10	released		GSM463028
2738	NPP-13_N2_MXEMB_(SDQ3897_NPP13_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=npp-13;AbName=SDQ4094_NPP13;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: embryo	1/29/10	2/18/10	released		, GSE22751, GSM562787, GSM562788, GSM562789
2739	Histone_H3K9me1_N2_EEMB_(AB8896_H3K9ME1104560_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification	Target=H3K9Me1;AbName=H3K9Me1;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	1/29/10	2/18/10	released		, GSE22752, GSM562790
2740	Histone_H3K27ac_N2_EEMB_(AB4729_H3K27AC361571_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification	Target=H3K27Ac;AbName=H3K27Ac;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	1/29/10	2/18/10	released		, GSE22753, GSM562791
2741	Dm Canton-S Embryo 12-24h smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage	1/29/10	2/3/10	released		GSM364902
2742	Lai_embryo_14-24hr_Bs61-64-67-73	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 16-17	2/1/10	2/1/10	released		, GSE24309, GSM609229
2743	Lai_embryo_2-6hr_BS43-46	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, embryonic stage, extended germ band stage, late extended germ band stage, embryonic stage 5-11	1/29/10	2/3/10	released		, GSE24539, GSM609238
2744	Lai_CantonS_ovary_Ago1IP	Lai	Hannon	RNA-seq	RNA profiling	Target=Ago1;AbName=Ago1		Drosophila melanogaster		Canton-S	ovary	adult: adult stage	1/29/10	2/3/10	released		, GSE24310, GSM609230
2745	UTRome_V2_3UTRs_multiple_evidences	Piano	Piano	Computational annotation	gene model			Caenorhabditis elegans					1/29/10	2/18/10	released	CEUP_UTRs.gff3	GSM446652
2746	Lai_Ago2-414_ovary_Ago1IP	Lai	Hannon	RNA-seq	RNA profiling	Target=Ago1;AbName=Ago1		Drosophila melanogaster		Ago2[414]	ovary	adult: adult stage	1/29/10	2/4/10	released		, GSE24311, GSM609231
2747 deprecated by 2833	Lai_Dcr-2_L811fsX_ovary_Ago1IP	Lai	Hannon	RNA-seq	RNA profiling	Target=Ago1;AbName=Ago1		Drosophila melanogaster		Dcr-2[L811fsX]	ovary	adult: adult stage	1/29/10	2/3/10	replaced		
2748	Lai_r2d2_ovary_totalRNA	Lai	Hannon	RNA-seq	RNA profiling			Drosophila melanogaster		r2d2[1]	ovary	adult: adult stage	1/29/10	2/4/10	released		, GSE24312, GSM609232
2749	Lai_r2d2_ovary_Ago1IP	Lai	Hannon	RNA-seq	RNA profiling	Target=Ago1;AbName=Ago1		Drosophila melanogaster		r2d2[1]	ovary	adult: adult stage	1/29/10	2/4/10	released		, GSE24313, GSM609233
2750 deprecated by 2834	Lai_Ago2-414_ovary	Lai	Hannon	RNA-seq	RNA profiling			Drosophila melanogaster		Ago2[414]	ovary	adult: adult stage	1/29/10	2/2/10	replaced		
2751	Lai_CantonS_male	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	abdomen, thorax	adult: adult stage	1/29/10	2/2/10	released		, GSE24314, GSM609234
2753	Orc2 S2 ChIP-Seq	MacAlpine	MacAlpine	ChIP-seq	replication factors	Target=Orc2;AbName=dORC2		Drosophila melanogaster	S2-DRSC				1/31/10	2/9/10	released	S2_2.bed.gff3, S2.bed.gff3, 1_S2_6.bed.gff3, S2_6.bed.gff3	GSE20887, GSM522353, GSM522353, GSM522354, GSM522355
2754	Orc2 BG3 ChIP-Seq	MacAlpine	MacAlpine	ChIP-seq	replication factors	Target=Orc2;AbName=dORC2		Drosophila melanogaster	ML-DmBG3-c2				1/31/10	2/9/10	released	BG3.bed.gff3, BG3_13.bed.gff3, BG3_7.bed.gff3	GSE20888, GSM522356, GSM522356, GSM522357, GSM522358
2755	Orc2 KC ChIP-Seq	MacAlpine	MacAlpine	ChIP-seq	replication factors	Target=Orc2;AbName=dORC2		Drosophila melanogaster	Kc167				1/31/10	2/9/10	released	KC.bed.gff3, KC_12.bed.gff3, KC_1.bed.gff3	GSE20889, GSM522359, GSM522359, GSM522360, GSM522361
2756	Kc_600_mM_Salt_Extracted_Chromatin	Henikoff	Henikoff	ChIP-chip	chromatin	SaltConcentration=600mM ;Array=65bp;ArrayPlatform=Nimblegen		Drosophila melanogaster	Kc167				2/1/10	7/8/10	released		
2757	Kc_600_mM_Salt_Extracted_Chromatin_Pellet	Henikoff	Henikoff	ChIP-chip	chromatin	SaltConcentration=600mM ;Array=65bp;ArrayPlatform=Nimblegen		Drosophila melanogaster	Kc167				2/1/10	7/8/10	released		
2758	Kc_RNA_Expression_Tiling_Array	Henikoff	Ahmad	tiling array: RNA	signal data	Array=65bp;ArrayPlatform=Nimblegen		Drosophila melanogaster	Kc167				2/1/10	7/8/10	released		
2759	Kc_H2Av_Knockdown_600_mM_Salt_Extracted_Chromatin	Henikoff	Ahmad	ChIP-chip	chromatin	SaltConcentration=600mM ;Array=65bp;ArrayPlatform=Nimblegen	RNAiTarget=His2Av	Drosophila melanogaster	Kc167				2/1/10	7/8/10	released		
2760	Kc_H2Av_Knockdown_600_mM_Salt_Extracted_Chromatin_Pellet	Henikoff	Henikoff	ChIP-chip	chromatin	SaltConcentration=600mM ;Array=65bp;ArrayPlatform=Nimblegen	RNAiTarget=His2Av	Drosophila melanogaster	Kc167				2/1/10	7/8/10	released		
2761	Kc_H2Av_Knockdown_RNA_Expression_Tiling_Array	Henikoff	Ahmad	tiling array: RNA	signal data	Array=65bp;ArrayPlatform=Nimblegen	RNAiTarget=His2Av	Drosophila melanogaster	Kc167				2/1/10	7/8/10	released		
2762	N2_Worm_Embryo_mRNA_Expression	Henikoff	Ahmad	tiling array: RNA	signal data	Array=54bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans, Drosophila melanogaster		N2	whole organism	larva: newly molted young adult hermaphrodite	2/1/10	7/8/10	released		
2763	Mononucleosomes_N2_MXEMB	Lieb	Lieb	DNA-seq	signal data			Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2/1/10	2/18/10	released		GSE20136
2764	Mononucleosomes_JK1107_AD	Lieb	Lieb	DNA-seq	signal data			Caenorhabditis elegans		JK1107	whole organism	larva: newly molted young adult hermaphrodite	2/1/10	2/18/10	released		GSE20136
2765	Histone_H3K20me1_N2_EEMB_(AB9051_H4K20ME1104513_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification	Target=H4K20Me1;AbName=H4K20Me1;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2/1/10	2/17/10	released		, GSE22754, GSM562792, GSM562793
2766	Histone_H4_Tetra_ac_N2_EEMB_(LPAR109_H4TETRAAC109_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification	Target=H4TetraAc;AbName=H4TetraAc;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2/1/10	2/17/10	released		, GSE22755, GSM562794, GSM562795
2767	CBP-1_N2_MXEMB_(SDQ3582_CBP1_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=cbp-1;AbName=SDQ3582_CBP1, SDQ3575_CBP1;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: embryo	2/1/10	2/17/10	released		, GSE22756, GSM562796, GSM562797, GSM562798, GSM562799
2768	Histone_H4_N2_L3_(MP05858_H4DAM1636076_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification	Target=H4;AbName=H4;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2/1/10	2/17/10	released		
2769	S2_RNA_Expression_Tiling_Array	Henikoff	Ahmad	tiling array: RNA	signal data	Array=65bp;ArrayPlatform=Nimblegen		Drosophila melanogaster	S2-DRSC				2/1/10	7/8/10	released		
2770	Histone_H3K9me1_N2_L3_(AB9045_H3K9ME1291918_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification	Target=H3K9Me1;AbName=H3K9Me1;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2/1/10	2/17/10	released		
2771	Histone_H3K27ac_N2_L3_(AB4729_H3K27AC361571_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification	Target=H3K27Ac;AbName=H3K27Ac;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2/1/10	2/17/10	released		
2773	Histone_H3K27ac_N2_L3_(WA30634849_H3K27AC_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification	Target=H3K27Ac;AbName=H3K27Ac;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2/1/10	2/17/10	released		
2774	Histone_H4K8ac_N2_L3_(AB15823_H4K8AC487128_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification	Target=H4K8Ac;AbName=H4K8Ac;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2/1/10	2/17/10	released		
2775	Histone_H3K4me1_N2_L3_(AB8895_H3K4ME1733246_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification	Target=H3K4Me1;AbName=H3K4Me1;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2/1/10	2/17/10	released		
2776	Embryo_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	embryo: embryo	2/1/10	2/13/10	released	embryo_miRNA_0210.gff3	GSM336052
2777	mid-L1_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2/1/10	2/13/10	released	mid-L1_miRNA_0210.gff3	GSM336055
2778	mid-L2_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2/1/10	2/13/10	released	mid-L2_miRNA_0210.gff3	GSM336056
2779	mid-L3_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2/1/10	2/13/10	released	mid-L3_miRNA_0210.gff3	GSM336058
2780	mid-L4_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2/1/10	2/13/10	released	mid-L4_miRNA_0210.gff3	GSM336059
2781	young-adult_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2/1/10	2/13/10	released	young-adult_miRNA_0210.gff3	GSM336060
2782	male-yAd_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		CB4689	whole organism	adult: adult male	2/1/10	2/13/10	released	male-yAd_miRNA_0210.gff3	GSM336086
2783	MCM KC ChIP-Seq	MacAlpine	MacAlpine	ChIP-seq	replication factors	Target=MCM2-7 complex;AbName=Pan MCM2-7 body		Drosophila melanogaster	Kc167				2/1/10	2/9/10	released	KC_MCM_26.bed.gff3, KC_MCM_27.bed.gff3, KC_MCM.bed.gff3	GSE20890, GSM522362, GSM522362, GSM522363, GSM522364
2784	Histone_H4K20me1_N2_L3_(AB9051_H4K20ME1104513_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification	Target=H4K20Me1;AbName=H4K20Me1;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2/1/10	2/17/10	released		
2785	Day0_spe-9_23dC_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		BA671	whole organism	larva: newly molted young adult hermaphrodite	2/1/10	2/13/10	released	Day0-spe-9_miRNA_0210.gff3	GSM463029
2786	Day5_spe-9_23dC_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		BA671	whole organism	adult: 5-days post-L4 adult hermaphrodite	2/1/10	2/13/10	released	Day5-spe-9_miRNA_0210.gff3	GSM463026
2787	Day8_spe-9_23dC_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		BA671	whole organism	adult: 7-10 days post-L4 adult hermaphrodite	2/1/10	2/13/10	released	Day8-spe-9_miRNA_0210.gff3	GSM463030
2788	Day12_spe-9_23dC_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		BA671	whole organism	adult: adult hermaphrodite	2/1/10	2/13/10	released	Day12-spe-9_miRNA_0210.gff3	GSM463028
2790 superseded by 2869	Dev Timecourse Adult Male Eclosion+1d RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2/1/10	2/13/10	replaced		SRR023543, SRR023648, SRR023664, SRR023678, SRR023741, SRR023825
2791 superseded by 2871	Dev Timecourse Adult Male Eclosion+5d RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2/1/10	2/13/10	replaced		SRR023550, SRR023605, SRR023606, SRR023642, SRR023658, SRR023672, SRR023679, SRR023713, SRR029176, SRR029231, SRR029233, SRR029235
2792 superseded by 2870	Dev Timecourse Adult Male Eclosion+30d RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2/1/10	2/13/10	replaced		SRR023601, SRR023650, SRR023698, SRR023714, SRR023752, SRR023823, SRR024218
2793 superseded by 2867	Dev Timecourse Adult Female Eclosion+30d RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2/1/10	2/13/10	replaced		SRR023548, SRR023598, SRR023674, SRR023681, SRR023712, SRR023757, SRR029232, SRR029236
2794 superseded by 2866	Dev Timecourse Adult Female Eclosion+1d RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2/1/10	2/13/10	replaced		SRR023595, SRR023662, SRR023680, SRR023702, SRR023737, SRR023828, SRR024220
2795 superseded by 2868	Dev Timecourse Adult Female Eclosion+5d RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	2/1/10	2/13/10	replaced		SRR023547, SRR023607, SRR023645, SRR023651, SRR023717, SRR023730, SRR029230, SRR029234
2796 superseded by 2884	Dev Timecourse Embryo 0-2h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, pre-blastoderm stage, embryonic stage 1-2	2/1/10	2/13/10	replaced		SRR023199, SRR023659, SRR023663, SRR023671, SRR023747, SRR023755, SRR024013, SRR027110
2797 superseded by 2889	Dev Timecourse Embryo 10-12h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 13-15	2/1/10	2/13/10	replaced		SRR023604, SRR023644, SRR023694, SRR023727, SRR023831, SRR024010, SRR024221
2798 superseded by 2890	Dev Timecourse Embryo 12-14h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: dorsal closure stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 15-16	2/1/10	2/13/10	replaced		SRR023602, SRR023643, SRR023703, SRR023724, SRR023832, SRR024012, SRR035221
2799 superseded by 2891	Dev Timecourse Embryo 14-16h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 16	2/1/10	2/13/10	replaced		SRR023540, SRR023641, SRR023725, SRR023734, SRR023736, SRR023822, SRR024011
2800 superseded by 2892	Dev Timecourse Embryo 16-18h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, fertilized egg stage, late embryonic stage, unfertilized egg stage, embryonic stage 17	2/1/10	2/13/10	replaced		SRR023600, SRR023707, SRR023715, SRR023720, SRR023751, SRR023826
2801 superseded by 2893	Dev Timecourse Embryo 18-20h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: egg stage, embryonic stage, late embryonic stage, embryonic stage 17	2/1/10	2/13/10	replaced		SRR023503, SRR023599, SRR023673, SRR023682, SRR023686, SRR023699, SRR023700, SRR024215, SRR027114, SRR035222
2802 superseded by 2894	Dev Timecourse Embryo 20-22h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, embryonic stage 17	2/1/10	2/13/10	replaced		SRR023506, SRR023665, SRR023684, SRR023718, SRR023728, SRR027109
2803 superseded by 2895	Dev Timecourse Embryo 22-24h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage, late embryonic stage, embryonic stage 17	2/1/10	2/13/10	replaced		SRR023538, SRR023685, SRR023711, SRR023733, SRR023834, SRR024015
2804 superseded by 2885	Dev Timecourse Embryo 2-4h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, embryonic stage, embryonic stage 5-9	2/1/10	2/13/10	replaced		SRR023502, SRR023660, SRR023705, SRR023722, SRR023745, SRR027112
2805 superseded by 2886	Dev Timecourse Embryo 4-6h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: early extended germ band stage, extended germ band stage, late extended germ band stage, embryonic stage 9-11	2/1/10	2/13/10	replaced		SRR023539, SRR023669, SRR023696, SRR023746, SRR023836, SRR024014, SRR035220
2806 superseded by 2887	Dev Timecourse Embryo 6-8h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: extended germ band stage, late extended germ band stage, embryonic stage 11-12	2/1/10	2/13/10	replaced		SRR023504, SRR023654, SRR023668, SRR023688, SRR023691, SRR023732, SRR024009, SRR024217, SRR027113
2807 superseded by 2888	Dev Timecourse Embryo 8-10h RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	embryo: late extended germ band stage, embryonic stage 12-13	2/1/10	2/13/10	replaced		SRR023549, SRR023596, SRR023603, SRR023657, SRR023701, SRR023749, SRR023750, SRR023754, SRR023759, SRR024219
2808 superseded by 2872	Dev Timecourse Larvae L1 RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	larva: first instar larval stage, larval stage	2/1/10	2/13/10	replaced		SRR023597, SRR023646, SRR023661, SRR023666, SRR023706, SRR023835
2809 superseded by 2873	Dev Timecourse Larvae L2 RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	larva: larval stage, second instar larval stage	2/1/10	2/13/10	replaced		SRR023542, SRR023670, SRR023719, SRR023761, SRR023824, SRR024016, SRR035223
2810 superseded by 2874	Dev Timecourse Larvae L3 12hr RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	larva: larval stage, third instar larval stage	2/1/10	2/13/10	replaced		SRR023507, SRR023649, SRR023677, SRR023731, SRR023760, SRR027111
2811 superseded by 2875	Dev Timecourse Larvae L3 PS1-2 RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	larva: larval stage, third instar larval stage	2/1/10	2/13/10	replaced		SRR023546, SRR023608, SRR023638, SRR023640, SRR023697, SRR023726, SRR023758
2812 superseded by 2876	Dev Timecourse Larvae L3 PS3-6 RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	larva: larval stage	2/1/10	2/13/10	replaced		SRR023505, SRR023676, SRR023683, SRR023690, SRR023692, SRR023742, SRR027108
2813 superseded by 2877	Dev Timecourse Larvae L3 PS7-9 RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	larva: larval stage	2/1/10	2/13/10	replaced		SRR023729, SRR023739, SRR023782, SRR023865, SRR026433, SRR035219
2814 superseded by 2878	Dev Timecourse White Pre-pupae RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	larva: prepupal stage, prepupal stage P1	2/1/10	2/13/10	replaced		SRR023687, SRR023695, SRR023704, SRR023784, SRR023837, SRR026432, SRR035217
2815 superseded by 2879	Dev Timecourse White Pre-pupae 12hr RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	larva: prepupal stage, prepupal stage P4, prepupal stage P4(i), prepupal stage P4(ii)	2/1/10	2/13/10	replaced		SRR023544, SRR023639, SRR023647, SRR023689, SRR023716, SRR023833
2816 superseded by 2880	Dev Timecourse White Pre-pupae 24hr RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	pupae: pupal stage, pupal stage P6	2/1/10	2/13/10	replaced		SRR023541, SRR023656, SRR023708, SRR023756, SRR023830
2817 superseded by 2881	Dev Timecourse White Pre-pupae 2 days RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	pupae: pharate adult stage, pharate adult stage P8	2/1/10	2/13/10	replaced		SRR023667, SRR023721, SRR023743, SRR023785, SRR023829, SRR026431
2818 superseded by 2882	Dev Timecourse White Pre-pupae 3 days RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	pupae: pharate adult stage, pharate adult stage P9	2/1/10	2/13/10	replaced		SRR023738, SRR023744, SRR023748, SRR023783, SRR024216, SRR026430, SRR035218
2819 superseded by 2883	Dev Timecourse White Pre-pupae 4 days RNA-Seq multimapped reads	Celniker	Celniker	RNA-seq	RNA profiling			Drosophila melanogaster		y; cn bw sp	whole organism	pupae: pharate adult stage, pharate adult stage P15, pharate adult stage P15(i)	2/1/10	2/13/10	replaced		SRR023609, SRR023653, SRR023723, SRR023735, SRR023740, SRR023827
2820	Lai_CMEL1_BS28	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster	CME L1				2/2/10	2/9/10	released		, GSE24315, GSM609235
2821	small RNA Illumina sequencing of eri-1(mg366)	Piano	Kim	RNA-seq	RNA profiling			Caenorhabditis elegans		GR1373	whole organism	larva: newly molted young adult hermaphrodite	2/2/10	2/14/10	released		GSM510086
2822	small RNA Illumina sequencing of glp-4(bn2)	Piano	Kim	RNA-seq	RNA profiling			Caenorhabditis elegans		SS104	whole organism	larva: newly molted young adult hermaphrodite	2/2/10	2/14/10	released		GSM510087
2823	small RNA Illumina sequencing of him-8 sperm	Piano	Piano	RNA-seq	RNA profiling			Caenorhabditis elegans		CB1489	spermatid	adult: adult male	2/2/10	2/15/10	released		GSM510089
